Eurovision Song Contest 2014 First Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Albania,Armenia,4,5,11,1,14,6,"
",6,5
Albania,Latvia,12,10,10,15,10,13,"
",13,"
"
Albania,Estonia,14,12,7,13,9,12,"
",12,"
"
Albania,Sweden,3,4,5,5,7,5,"
",5,6
Albania,Iceland,13,15,13,14,11,15,"
",15,"
"
Albania,Russia,15,13,15,7,13,14,"
",14,"
"
Albania,Azerbaijan,7,6,4,2,3,4,"
",4,7
Albania,Ukraine,8,8,12,10,6,8,"
",8,3
Albania,Belgium,10,14,8,9,12,11,"
",11,"
"
Albania,Moldova,9,7,6,12,8,7,"
",7,4
Albania,San Marino,6,3,3,8,2,3,"
",3,8
Albania,Portugal,11,11,14,11,5,10,"
",10,1
Albania,The Netherlands,5,9,9,6,15,9,"
",9,2
Albania,Montenegro,2,2,1,4,1,1,"
",1,12
Albania,Hungary,1,1,2,3,4,2,"
",2,10
Armenia,Latvia,12,11,12,14,12,12,11,14,"
"
Armenia,Estonia,2,1,2,2,1,2,10,6,5
Armenia,Sweden,14,13,14,10,14,13,3,7,4
Armenia,Iceland,10,7,10,7,7,8,13,13,"
"
Armenia,Albania,5,6,5,5,6,5,14,12,"
"
Armenia,Russia,11,9,11,9,5,10,1,4,7
Armenia,Azerbaijan,15,15,15,15,15,15,15,15,"
"
Armenia,Ukraine,6,10,7,3,3,6,2,1,12
Armenia,Belgium,4,3,4,6,8,4,8,5,6
Armenia,Moldova,7,4,9,8,10,7,12,11,"
"
Armenia,San Marino,8,8,6,12,9,9,7,9,2
Armenia,Portugal,9,12,8,11,11,11,5,8,3
Armenia,The Netherlands,3,5,3,4,4,3,6,2,10
Armenia,Montenegro,1,2,1,1,2,1,9,3,8
Armenia,Hungary,13,14,13,13,13,14,4,10,1
Azerbaijan,Armenia,15,15,15,15,15,15,15,15,"
"
Azerbaijan,Latvia,5,6,1,4,5,4,9,4,7
Azerbaijan,Estonia,1,3,5,3,3,3,11,6,5
Azerbaijan,Sweden,12,14,12,14,14,14,8,13,"
"
Azerbaijan,Iceland,13,12,14,11,13,13,12,14,"
"
Azerbaijan,Albania,7,5,2,5,7,6,14,12,"
"
Azerbaijan,Russia,2,1,4,1,2,1,2,2,10
Azerbaijan,Ukraine,3,4,3,2,1,2,1,1,12
Azerbaijan,Belgium,8,11,7,10,8,9,6,7,4
Azerbaijan,Moldova,6,8,9,8,6,7,13,11,"
"
Azerbaijan,San Marino,9,9,10,12,10,10,4,5,6
Azerbaijan,Portugal,14,13,13,9,11,12,7,10,1
Azerbaijan,The Netherlands,11,10,8,13,12,11,5,8,3
Azerbaijan,Montenegro,10,7,11,6,9,8,10,9,2
Azerbaijan,Hungary,4,2,6,7,4,5,3,3,8
Belgium,Armenia,13,15,14,14,15,15,1,8,3
Belgium,Latvia,5,14,11,9,5,9,6,6,5
Belgium,Estonia,6,8,10,13,6,8,13,11,"
"
Belgium,Sweden,1,1,9,2,3,2,5,3,8
Belgium,Iceland,15,12,2,3,1,5,10,7,4
Belgium,Albania,4,9,8,5,14,7,9,9,2
Belgium,Russia,8,5,12,4,9,6,12,10,1
Belgium,Azerbaijan,11,6,13,10,8,11,14,14,"
"
Belgium,Ukraine,3,4,4,6,7,3,7,4,7
Belgium,Moldova,14,11,7,7,12,12,15,15,"
"
Belgium,San Marino,10,13,6,15,13,14,8,12,"
"
Belgium,Portugal,12,7,5,11,10,10,4,5,6
Belgium,The Netherlands,9,2,3,8,2,4,2,2,10
Belgium,Montenegro,7,10,15,12,11,13,11,13,"
"
Belgium,Hungary,2,3,1,1,4,1,3,1,12
Denmark,Armenia,10,2,9,2,12,5,9,6,5
Denmark,Latvia,15,7,13,13,11,14,7,10,1
Denmark,Estonia,3,16,11,11,15,13,13,13,"
"
Denmark,Sweden,1,1,1,1,1,1,2,2,10
Denmark,Iceland,6,6,12,9,4,6,4,3,8
Denmark,Albania,13,9,7,15,3,9,8,9,2
Denmark,Russia,4,4,4,4,7,3,11,7,4
Denmark,Azerbaijan,12,5,10,3,8,7,14,12,"
"
Denmark,Ukraine,9,12,3,5,5,4,6,4,7
Denmark,Belgium,8,13,5,12,16,12,15,15,"
"
Denmark,Moldova,16,14,16,14,14,16,16,16,"
"
Denmark,San Marino,11,8,14,16,10,15,12,14,"
"
Denmark,Portugal,5,11,15,8,9,10,5,8,3
Denmark,The Netherlands,2,3,2,6,6,2,1,1,12
Denmark,Montenegro,14,10,8,7,13,11,10,11,"
"
Denmark,Hungary,7,15,6,10,2,8,3,5,6
Estonia,Armenia,4,7,7,12,4,6,9,6,5
Estonia,Latvia,13,5,3,14,15,9,4,5,6
Estonia,Sweden,2,4,4,1,2,1,5,4,7
Estonia,Iceland,14,10,10,11,6,10,8,9,2
Estonia,Albania,9,14,11,7,1,7,13,11,"
"
Estonia,Russia,11,8,14,15,12,14,6,10,1
Estonia,Azerbaijan,5,6,6,6,3,5,12,7,4
Estonia,Ukraine,3,3,5,3,8,4,2,2,10
Estonia,Belgium,15,15,8,10,10,13,11,13,"
"
Estonia,Moldova,8,12,15,8,9,12,15,15,"
"
Estonia,San Marino,7,11,12,9,13,11,7,8,3
Estonia,Portugal,10,13,13,13,14,15,10,14,"
"
