Eurovision Song Contest 2015 Second Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Australia,Lithuania,7,14,15,6,9,9,7,7,4
Australia,Ireland,6,2,5,9,15,6,13,11,"
"
Australia,San Marino,17,16,17,17,16,17,17,17,"
"
Australia,Montenegro,16,15,9,8,8,11,11,12,"
"
Australia,Malta,13,10,14,11,10,13,4,8,3
Australia,Norway,9,3,1,2,3,2,5,3,8
Australia,Portugal,14,12,12,12,7,12,12,14,"
"
Australia,Czech Republic,15,13,7,10,17,15,15,15,"
"
Australia,Israel,3,17,8,5,5,7,2,4,7
Australia,Latvia,10,4,2,4,2,4,3,2,10
Australia,Azerbaijan,4,6,4,3,4,3,14,9,2
Australia,Iceland,5,9,16,16,14,14,10,13,"
"
Australia,Sweden,1,1,3,1,1,1,1,1,12
Australia,Switzerland,11,11,13,15,13,16,16,16,"
"
Australia,Cyprus,2,8,6,7,6,5,8,5,6
Australia,Slovenia,8,7,10,13,12,8,6,6,5
Australia,Poland,12,5,11,14,11,10,9,10,1
Azerbaijan,Lithuania,4,4,2,6,3,4,"
",4,7
Azerbaijan,Ireland,8,9,8,10,9,9,"
",9,2
Azerbaijan,San Marino,14,15,12,12,14,13,"
",13,"
"
Azerbaijan,Montenegro,3,1,3,2,5,2,"
",2,10
Azerbaijan,Malta,12,16,13,15,13,14,"
",14,"
"
Azerbaijan,Norway,15,14,15,16,15,16,"
",16,"
"
Azerbaijan,Portugal,10,8,9,7,7,8,"
",8,3
Azerbaijan,Czech Republic,13,10,14,11,10,11,"
",11,"
"
Azerbaijan,Israel,1,3,4,1,8,3,"
",3,8
Azerbaijan,Latvia,6,2,7,4,2,5,"
",5,6
Azerbaijan,Iceland,7,7,5,5,4,6,"
",6,5
Azerbaijan,Sweden,5,6,6,8,6,7,"
",7,4
Azerbaijan,Switzerland,9,11,10,9,11,10,"
",10,1
Azerbaijan,Cyprus,16,13,16,13,16,15,"
",15,"
"
Azerbaijan,Slovenia,2,5,1,3,1,1,"
",1,12
Azerbaijan,Poland,11,12,11,14,12,12,"
",12,"
"
Cyprus,Lithuania,11,8,6,7,6,6,4,4,7
Cyprus,Ireland,7,6,7,5,4,5,13,10,1
Cyprus,San Marino,14,16,16,16,16,16,12,14,"
"
Cyprus,Montenegro,6,7,10,6,14,9,9,9,2
Cyprus,Malta,9,13,5,12,8,10,10,11,"
"
Cyprus,Norway,2,2,3,3,3,3,8,5,6
Cyprus,Portugal,16,15,14,9,13,14,16,16,"
"
Cyprus,Czech Republic,12,12,9,14,12,13,11,12,"
"
Cyprus,Israel,5,3,4,4,5,4,1,2,10
Cyprus,Latvia,1,5,2,1,2,2,5,3,8
Cyprus,Azerbaijan,4,4,12,11,10,7,6,6,5
Cyprus,Iceland,13,10,15,10,11,12,14,13,"
"
Cyprus,Sweden,3,1,1,2,1,1,2,1,12
Cyprus,Switzerland,15,14,13,13,15,15,15,15,"
"
Cyprus,Slovenia,10,9,8,8,7,8,7,8,3
Cyprus,Poland,8,11,11,15,9,11,3,7,4
Czech Republic,Lithuania,12,8,11,13,7,10,8,10,1
Czech Republic,Ireland,4,1,5,4,6,3,12,6,5
Czech Republic,San Marino,13,10,14,14,11,14,14,16,"
"
Czech Republic,Montenegro,11,15,9,3,9,8,7,5,6
Czech Republic,Malta,5,4,6,5,5,5,11,7,4
Czech Republic,Norway,3,9,2,6,3,4,10,4,7
Czech Republic,Portugal,15,11,7,10,8,11,16,15,"
"
Czech Republic,Israel,16,16,16,16,16,16,2,9,2
Czech Republic,Latvia,8,3,4,8,4,6,5,3,8
Czech Republic,Azerbaijan,2,6,3,2,2,2,3,2,10
Czech Republic,Iceland,14,7,10,11,13,12,15,14,"
"
Czech Republic,Sweden,1,2,1,1,1,1,1,1,12
Czech Republic,Switzerland,6,5,8,12,12,7,13,12,"
"
Czech Republic,Cyprus,7,13,12,7,10,9,9,11,"
"
Czech Republic,Slovenia,10,12,13,9,15,13,4,8,3
Czech Republic,Poland,9,14,15,15,14,15,6,13,"
"
Germany,Lithuania,12,3,9,15,14,10,10,11,"
"
Germany,Ireland,8,4,7,5,3,4,12,9,2
Germany,San Marino,17,17,17,17,17,17,15,16,"
"
Germany,Montenegro,16,10,13,11,10,13,11,12,"
"
Germany,Malta,13,8,11,6,7,9,17,14,"
"
Germany,Norway,3,1,3,4,2,2,8,4,7
Germany,Portugal,7,9,14,12,13,11,9,10,1
Germany,Czech Republic,5,13,6,2,12,6,7,7,4
Germany,Israel,6,6,4,9,9,5,2,3,8
Germany,Latvia,1,2,1,1,1,1,5,2,10
Germany,Azerbaijan,11,16,8,7,16,12,13,13,"
"
Germany,Iceland,14,14,15,16,8,16,16,17,"
"
Germany,Sweden,2,5,2,3,4,3,3,1,12
Germany,Switzerland,15,12,10,13,11,14,14,15,"
"
Germany,Cyprus,4,11,5,14,5,7,6,6,5
Germany,Slovenia,9,7,12,10,6,8,4,5,6
Germany,Poland,10,15,16,8,15,15,1,8,3
Iceland,Lithuania,4,15,2,14,4,7,8,7,4
Iceland,Ireland,3,14,11,12,5,9,16,14,"
"
Iceland,San Marino,16,16,12,16,16,16,15,16,"
"
Iceland,Montenegro,15,13,5,13,15,14,10,13,"
"
Iceland,Malta,8,11,14,6,11,11,12,12,"
"
Iceland,Norway,1,5,7,5,1,2,2,2,10
Iceland,Portugal,5,10,15,10,12,12,14,15,"
"
Iceland,Czech Republic,13,12,10,9,13,13,9,11,"
"
Iceland,Israel,10,4,3,2,8,4,3,3,8
Iceland,Latvia,6,2,8,7,3,3,5,4,7
Iceland,Azerbaijan,12,7,9,3,6,6,13,9,2
Iceland,Sweden,2,1,4,1,2,1,1,1,12
Iceland,Switzerland,9,8,16,8,7,10,11,10,1
Iceland,Cyprus,11,3,6,11,9,8,7,6,5
Iceland,Slovenia,7,6,1,4,10,5,6,5,6
Iceland,Poland,14,9,13,15,14,15,4,8,3
Ireland,Lithuania,2,7,16,7,10,8,1,4,7
Ireland,San Marino,3,16,12,15,16,15,16,16,"
"
Ireland,Montenegro,4,9,13,16,13,13,14,14,"
"
Ireland,Malta,5,2,2,5,9,4,12,8,3
Ireland,Norway,16,8,6,4,4,6,7,7,4
Ireland,Portugal,14,14,14,11,15,16,10,13,"
"
Ireland,Czech Republic,6,6,4,10,12,7,11,10,1
