Eurovision Song Contest 2016 First Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points
Armenia,Finland,4,3,4,6,3,3,13,8,"
"
Armenia,Greece,7,7,9,10,9,8,4,3,7
Armenia,Moldova,6,6,6,4,6,5,15,6,"
"
Armenia,Hungary,16,16,5,8,16,12,5,"
",6
Armenia,Croatia,8,9,8,11,7,9,8,2,3
Armenia,The Netherlands,9,8,7,9,8,7,7,4,4
Armenia,San Marino,15,13,15,3,15,13,11,"
","
"
Armenia,Russia,3,4,3,7,4,4,1,7,12
Armenia,Czech Republic,5,5,11,5,5,6,9,5,2
Armenia,Cyprus,14,12,12,15,13,15,3,"
",8
Armenia,Austria,12,14,16,16,14,16,6,"
",5
Armenia,Estonia,10,15,14,12,11,14,12,"
","
"
Armenia,Azerbaijan,17,17,17,17,17,17,17,"
","
"
Armenia,Montenegro,2,2,2,2,2,2,16,10,"
"
Armenia,Iceland,13,11,10,13,12,11,14,"
","
"
Armenia,Bosnia & Herzegovina,11,10,13,14,10,10,10,1,1
Armenia,Malta,1,1,1,1,1,1,2,12,10
Austria,Finland,6,12,8,2,13,9,14,2,"
"
Austria,Greece,15,17,17,16,17,17,11,"
","
"
Austria,Moldova,14,13,14,14,14,14,15,"
","
"
Austria,Hungary,8,8,9,15,12,11,3,"
",8
Austria,Croatia,3,7,5,8,4,4,5,7,6
Austria,The Netherlands,1,6,3,7,11,5,2,6,10
Austria,Armenia,2,4,7,6,9,6,7,5,4
Austria,San Marino,13,14,11,17,16,15,6,"
",5
Austria,Russia,7,3,4,3,6,3,4,8,7
Austria,Czech Republic,9,1,2,4,5,2,10,10,1
Austria,Cyprus,16,11,13,12,10,13,9,"
",2
Austria,Estonia,4,10,12,10,8,10,16,1,"
"
Austria,Azerbaijan,10,9,6,9,3,7,12,4,"
"
Austria,Montenegro,17,16,16,11,15,16,17,"
","
"
Austria,Iceland,12,5,10,5,7,8,8,3,3
Austria,Bosnia & Herzegovina,11,15,15,13,2,12,1,"
",12
Austria,Malta,5,2,1,1,1,1,13,12,"
"
Azerbaijan,Finland,11,13,10,14,11,12,17,"
","
"
Azerbaijan,Greece,5,7,5,6,5,5,11,6,"
"
Azerbaijan,Moldova,6,5,8,4,6,6,13,5,"
"
Azerbaijan,Hungary,4,2,3,3,4,3,4,8,7
Azerbaijan,Croatia,13,10,9,10,13,11,12,"
","
"
Azerbaijan,The Netherlands,15,15,16,16,15,15,7,"
",4
Azerbaijan,Armenia,17,17,17,17,17,17,14,"
","
"
Azerbaijan,San Marino,7,8,7,8,7,8,2,3,10
Azerbaijan,Russia,1,1,2,1,2,1,1,12,12
Azerbaijan,Czech Republic,10,9,11,11,9,9,8,2,3
Azerbaijan,Cyprus,16,16,15,15,16,16,10,"
",1
Azerbaijan,Austria,12,14,14,13,14,14,5,"
",6
Azerbaijan,Estonia,9,11,12,9,10,10,9,1,2
Azerbaijan,Montenegro,3,4,4,5,3,4,16,7,"
"
Azerbaijan,Iceland,14,12,13,12,12,13,15,"
","
"
Azerbaijan,Bosnia & Herzegovina,2,3,1,2,1,2,6,10,5
Azerbaijan,Malta,8,6,6,7,8,7,3,4,8
Bosnia & Herzegovina,Finland,16,11,9,7,17,14,14,"
","
"
Bosnia & Herzegovina,Greece,8,10,17,14,7,11,16,"
","
"
Bosnia & Herzegovina,Moldova,17,17,15,12,13,16,17,"
","
"
Bosnia & Herzegovina,Hungary,5,16,5,13,5,7,10,4,1
Bosnia & Herzegovina,Croatia,7,8,8,6,9,6,1,5,12
Bosnia & Herzegovina,The Netherlands,10,5,10,17,11,10,12,1,"
"
Bosnia & Herzegovina,Armenia,3,9,1,5,1,4,8,7,3
Bosnia & Herzegovina,San Marino,2,7,3,1,4,2,11,10,"
"
Bosnia & Herzegovina,Russia,4,4,4,2,3,3,4,8,7
Bosnia & Herzegovina,Czech Republic,1,3,2,3,2,1,7,12,4
Bosnia & Herzegovina,Cyprus,14,1,16,11,15,13,9,"
",2
Bosnia & Herzegovina,Austria,15,15,13,16,16,17,5,"
",6
Bosnia & Herzegovina,Estonia,13,14,14,10,14,15,15,"
","
"
Bosnia & Herzegovina,Azerbaijan,9,2,7,4,8,5,2,6,10
Bosnia & Herzegovina,Montenegro,6,12,6,15,6,8,3,3,8
Bosnia & Herzegovina,Iceland,11,13,12,9,12,12,13,"
","
"
Bosnia & Herzegovina,Malta,12,6,11,8,10,9,6,2,5
Croatia,Finland,8,12,15,11,15,14,15,"
","
"
Croatia,Greece,17,16,17,17,16,17,17,"
","
"
Croatia,Moldova,15,10,11,9,10,11,16,"
","
"
Croatia,Hungary,5,7,5,2,3,3,3,8,8
Croatia,The Netherlands,1,15,8,16,5,9,6,2,5
Croatia,Armenia,12,3,7,3,7,6,8,5,3
Croatia,San Marino,16,14,16,10,9,15,12,"
","
"
Croatia,Russia,11,2,3,5,8,5,2,6,10
Croatia,Czech Republic,7,1,1,1,1,1,7,12,4
Croatia,Cyprus,4,5,2,7,2,2,9,10,2
Croatia,Austria,10,13,13,13,12,13,4,"
",7
Croatia,Estonia,9,9,12,15,14,12,14,"
","
"
Croatia,Azerbaijan,6,6,6,8,11,8,13,3,"
"
Croatia,Montenegro,14,17,14,14,17,16,5,"
",6
Croatia,Iceland,3,11,10,12,13,10,11,1,"
"
Croatia,Bosnia & Herzegovina,13,4,9,4,6,7,1,4,12
Croatia,Malta,2,8,4,6,4,4,10,7,1
Cyprus,Finland,14,9,10,13,8,12,11,"
","
"
Cyprus,Greece,15,4,4,17,5,8,1,3,12
Cyprus,Moldova,10,14,16,10,14,15,9,"
",2
