,,Final,,,Semi,,,Info,,,Overall #,,,GF #,,,SF #,,
#,Year,#,%,,#,SF RO %,,Country,Artist,Song,#,of,%,#,of,%,SF Place,Out of,Place %
1,1956,1,0.00%,1956,,,,🇳🇱 Netherlands,Jetty Paerl,De vogels van Holland,8,14,46.15%,8,14,46.15%,,,
2,1956,2,7.69%,1956,,,,🇨🇭 Switzerland,Lys Assia,Das alte Karussell,8,14,46.15%,8,14,46.15%,,,
3,1956,3,15.38%,1956,,,,🇧🇪 Belgium,Fud Leclerc,Messieurs les noyés de la Seine,8,14,46.15%,8,14,46.15%,,,
4,1956,4,23.08%,1956,,,,🇩🇪 Germany,Walter Andreas Schwarz,Im Wartesaal zum großen Glück,8,14,46.15%,8,14,46.15%,,,
5,1956,5,30.77%,1956,,,,🇫🇷 France,Mathé Altéry,Le temps perdu,8,14,46.15%,8,14,46.15%,,,
6,1956,6,38.46%,1956,,,,🇱🇺 Luxembourg,Michèle Arnaud,Ne crois pas,8,14,46.15%,8,14,46.15%,,,
7,1956,7,46.15%,1956,,,,🇮🇹 Italy,Franca Raimondi,Aprite le finestre,8,14,46.15%,8,14,46.15%,,,
8,1956,8,53.85%,1956,,,,🇳🇱 Netherlands,Corry Brokken,Voorgoed voorbij,8,14,46.15%,8,14,46.15%,,,
9,1956,9,61.54%,1956,,,,🇨🇭 Switzerland,Lys Assia,Refrain,1,14,100.00%,1,14,100.00%,,,
10,1956,10,69.23%,1956,,,,🇧🇪 Belgium,Mony Marc,Le plus beau jour de ma vie,8,14,46.15%,8,14,46.15%,,,
11,1956,11,76.92%,1956,,,,🇩🇪 Germany,Freddy Quinn,So geht das jede Nacht,8,14,46.15%,8,14,46.15%,,,
12,1956,12,84.62%,1956,,,,🇫🇷 France,Dany Dauberson,Il est là,8,14,46.15%,8,14,46.15%,,,
13,1956,13,92.31%,1956,,,,🇱🇺 Luxembourg,Michèle Arnaud,Les amants de minuit,8,14,46.15%,8,14,46.15%,,,
14,1956,14,100.00%,1956,,,,🇮🇹 Italy,Tonina Torrielli,Amami se vuoi,8,14,46.15%,8,14,46.15%,,,
15,1957,1,0.00%,1957,,,,🇧🇪 Belgium,Bobbejaan Schoepen,Straatdeuntje,8.5,10,16.67%,8.5,10,16.67%,,,
16,1957,2,11.11%,1957,,,,🇱🇺 Luxembourg,Danièle Dupré,Amours mortes (tant de peine),4.5,10,61.11%,4.5,10,61.11%,,,
