to_country,juror,a,b,c,d,e,jury_rank,televoting_rank,from_country
Czech Republic,NA,NA,NA,NA,NA,NA,14,21,Azerbaijan
Romania,NA,NA,NA,NA,NA,NA,21,15,Azerbaijan
Portugal,NA,NA,NA,NA,NA,NA,4,19,Azerbaijan
Finland,NA,NA,NA,NA,NA,NA,19,12,Azerbaijan
Switzerland,NA,NA,NA,NA,NA,NA,11,22,Azerbaijan
France,NA,NA,NA,NA,NA,NA,10,17,Azerbaijan
Norway,NA,NA,NA,NA,NA,NA,16,4,Azerbaijan
Armenia,NA,NA,NA,NA,NA,NA,17,24,Azerbaijan
Italy,NA,NA,NA,NA,NA,NA,2,6,Azerbaijan
Spain,NA,NA,NA,NA,NA,NA,6,2,Azerbaijan
Netherlands,NA,NA,NA,NA,NA,NA,7,13,Azerbaijan
Ukraine,NA,NA,NA,NA,NA,NA,5,1,Azerbaijan
Germany,NA,NA,NA,NA,NA,NA,20,18,Azerbaijan
Lithuania,NA,NA,NA,NA,NA,NA,24,14,Azerbaijan
Azerbaijan,NA,NA,NA,NA,NA,NA,,,Azerbaijan
Belgium,NA,NA,NA,NA,NA,NA,15,16,Azerbaijan
Greece,NA,NA,NA,NA,NA,NA,8,8,Azerbaijan
Iceland,NA,NA,NA,NA,NA,NA,22,23,Azerbaijan
Moldova,NA,NA,NA,NA,NA,NA,18,11,Azerbaijan
Sweden,NA,NA,NA,NA,NA,NA,3,7,Azerbaijan
Australia,NA,NA,NA,NA,NA,NA,12,9,Azerbaijan
United Kingdom,NA,NA,NA,NA,NA,NA,1,3,Azerbaijan
Poland,NA,NA,NA,NA,NA,NA,9,10,Azerbaijan
Serbia,NA,NA,NA,NA,NA,NA,23,5,Azerbaijan
Estonia,NA,NA,NA,NA,NA,NA,13,20,Azerbaijan
Czech Republic,NA,NA,NA,NA,NA,NA,20,16,Poland
Romania,NA,NA,NA,NA,NA,NA,21,15,Poland
Portugal,NA,NA,NA,NA,NA,NA,4,10,Poland
Finland,NA,NA,NA,NA,NA,NA,16,11,Poland
Switzerland,NA,NA,NA,NA,NA,NA,6,19,Poland
France,NA,NA,NA,NA,NA,NA,22,18,Poland
Norway,NA,NA,NA,NA,NA,NA,12,7,Poland
Armenia,NA,NA,NA,NA,NA,NA,17,17,Poland
Italy,NA,NA,NA,NA,NA,NA,7,13,Poland
Spain,NA,NA,NA,NA,NA,NA,10,5,Poland
Netherlands,NA,NA,NA,NA,NA,NA,8,12,Poland
Ukraine,NA,NA,NA,NA,NA,NA,1,1,Poland
Germany,NA,NA,NA,NA,NA,NA,19,14,Poland
Lithuania,NA,NA,NA,NA,NA,NA,14,9,Poland
Azerbaijan,NA,NA,NA,NA,NA,NA,13,21,Poland
Belgium,NA,NA,NA,NA,NA,NA,15,22,Poland
Greece,NA,NA,NA,NA,NA,NA,9,23,Poland
Iceland,NA,NA,NA,NA,NA,NA,18,20,Poland
Moldova,NA,NA,NA,NA,NA,NA,24,4,Poland
Sweden,NA,NA,NA,NA,NA,NA,2,2,Poland
Australia,NA,NA,NA,NA,NA,NA,5,24,Poland
United Kingdom,NA,NA,NA,NA,NA,NA,3,8,Poland
Poland,NA,NA,NA,NA,NA,NA,,,Poland
Serbia,NA,NA,NA,NA,NA,NA,23,6,Poland
Estonia,NA,NA,NA,NA,NA,NA,11,3,Poland
Czech Republic,NA,NA,NA,NA,NA,NA,20,22,Romania
Romania,NA,NA,NA,NA,NA,NA,,,Romania
Portugal,NA,NA,NA,NA,NA,NA,4,19,Romania
Finland,NA,NA,NA,NA,NA,NA,16,15,Romania
Switzerland,NA,NA,NA,NA,NA,NA,6,21,Romania
France,NA,NA,NA,NA,NA,NA,22,10,Romania
Norway,NA,NA,NA,NA,NA,NA,12,9,Romania
Armenia,NA,NA,NA,NA,NA,NA,17,18,Romania
Italy,NA,NA,NA,NA,NA,NA,7,7,Romania
Spain,NA,NA,NA,NA,NA,NA,10,3,Romania
Netherlands,NA,NA,NA,NA,NA,NA,8,17,Romania
Ukraine,NA,NA,NA,NA,NA,NA,1,2,Romania
Germany,NA,NA,NA,NA,NA,NA,19,20,Romania
Lithuania,NA,NA,NA,NA,NA,NA,14,12,Romania
Azerbaijan,NA,NA,NA,NA,NA,NA,13,23,Romania
Belgium,NA,NA,NA,NA,NA,NA,15,16,Romania
Greece,NA,NA,NA,NA,NA,NA,9,14,Romania
Iceland,NA,NA,NA,NA,NA,NA,18,24,Romania
Moldova,NA,NA,NA,NA,NA,NA,24,1,Romania
Sweden,NA,NA,NA,NA,NA,NA,2,5,Romania
Australia,NA,NA,NA,NA,NA,NA,5,13,Romania
United Kingdom,NA,NA,NA,NA,NA,NA,3,8,Romania
Poland,NA,NA,NA,NA,NA,NA,21,11,Romania
Serbia,NA,NA,NA,NA,NA,NA,23,4,Romania
Estonia,NA,NA,NA,NA,NA,NA,11,6,Romania
Armenia,NA,5,9,8,10,9,4 points 7th,17th,Albania
Australia,NA,13,23,12,7,16,13th,21st,Albania
Azerbaijan,NA,17,17,6,6,12,3 points 8th,18th,Albania
Belgium,NA,7,8,13,16,11,2 points 9th,14th,Albania
Czechia,NA,14,21,19,18,20,21st,24th,Albania
Estonia,NA,8,24,10,12,17,12th,5 points 6th,Albania
Finland,NA,19,5,21,20,19,16th,2 points 9th,Albania
France,NA,23,18,23,21,23,24th,22nd,Albania
Germany,NA,16,16,9,19,10,17th,20th,Albania
Greece,NA,10,19,15,8,8,11th,12 points 1st,Albania
Iceland,NA,21,7,14,14,13,14th,25th,Albania
Italy,NA,2,2,1,2,1,12 points 1st,8 points 3rd,Albania
Lithuania,NA,18,6,16,23,14,15th,19th,Albania
Moldova,NA,22,14,25,24,22,23rd,1 point 10th,Albania
Netherlands,NA,6,11,5,3,3,6 points 5th,6 points 5th,Albania
Norway,NA,20,15,17,15,18,20th,16th,Albania
Poland,NA,15,25,11,17,21,19th,13th,Albania
Portugal,NA,12,13,20,11,5,1 point 10th,15th,Albania
Romania,NA,25,22,18,22,25,25th,12th,Albania
Serbia,NA,24,12,24,25,24,22nd,3 points 8th,Albania
Spain,NA,9,10,3,9,7,5 points 6th,7 points 4th,Albania
Sweden,NA,1,4,7,5,4,8 points 3rd,11th,Albania
Switzerland,NA,11,20,22,13,15,18th,23rd,Albania
Ukraine,NA,3,3,4,4,6,7 points 4th,10 points 2nd,Albania
United Kingdom,NA,4,1,2,1,2,10 points 2nd,4 points 7th,Albania
Australia,NA,17,17,21,20,23,22nd,21st,Armenia
Azerbaijan,NA,24,24,24,24,24,24th,24th,Armenia
