to_country,juror,a,b,c,d,e,jury_rank,televoting_rank,from_country
Azerbaijan,NA,9,12,10,3,5,3 points 8th,16th,Australia
Belgium,NA,3,3,9,2,7,8 points 3rd,15th,Australia
Cyprus,NA,15,17,16,11,17,17th,12th,Australia
Czechia,NA,6,8,8,7,8,2 points 9th,7 points 4th,Australia
Estonia,NA,11,9,4,6,3,5 points 6th,3 points 8th,Australia
Finland,NA,16,6,17,17,6,12th,2 points 9th,Australia
Georgia,NA,10,1,14,13,14,1 point 10th,1 point 10th,Australia
Ireland,NA,13,15,5,4,2,6 points 5th,8 points 3rd,Australia
Israel,NA,2,13,2,16,1,10 points 2nd,11th,Australia
Malta,NA,5,16,15,14,10,13th,14th,Australia
Montenegro,NA,8,14,13,8,12,14th,17th,Australia
North Macedonia,NA,1,5,7,5,13,7 points 4th,13th,Australia
Poland,NA,12,7,12,9,9,11th,6 points 5th,Australia
Romania,NA,14,10,11,10,15,16th,4 points 7th,Australia
San Marino,NA,17,11,6,12,16,15th,5 points 6th,Australia
Serbia,NA,7,4,3,15,11,4 points 7th,12 points 1st,Australia
Sweden,NA,4,2,1,1,4,12 points 1st,10 points 2nd,Australia
Australia,NA,5,5,8,3,2,8 points 3rd,3 points 8th,Belgium
Azerbaijan,NA,16,12,14,5,1,3 points 8th,14th,Belgium
Cyprus,NA,7,15,9,9,15,13th,12th,Belgium
Czechia,NA,4,2,12,12,7,4 points 7th,5 points 6th,Belgium
Estonia,NA,14,7,11,10,6,12th,7 points 4th,Belgium
Finland,NA,1,14,7,6,9,5 points 6th,4 points 7th,Belgium
Georgia,NA,15,8,3,16,16,11th,15th,Belgium
Ireland,NA,13,9,10,13,4,1 point 10th,1 point 10th,Belgium
Israel,NA,8,3,1,7,8,7 points 4th,11th,Belgium
Malta,NA,12,16,15,11,5,14th,2 points 9th,Belgium
Montenegro,NA,11,11,17,17,14,17th,17th,Belgium
North Macedonia,NA,10,13,16,8,12,15th,16th,Belgium
Poland,NA,3,6,6,4,11,6 points 5th,12 points 1st,Belgium
Romania,NA,9,17,13,15,10,16th,8 points 3rd,Belgium
San Marino,NA,6,1,4,2,3,12 points 1st,13th,Belgium
Serbia,NA,17,10,2,14,17,2 points 9th,6 points 5th,Belgium
Sweden,NA,2,4,5,1,13,10 points 2nd,10 points 2nd,Belgium
Australia,NA,4,2,3,3,3,10 points 2nd,4 points 7th,Cyprus
Azerbaijan,NA,12,1,10,1,17,6 points 5th,13th,Cyprus
Belgium,NA,15,5,8,5,8,3 points 8th,6 points 5th,Cyprus
Czechia,NA,6,16,6,7,6,4 points 7th,5 points 6th,Cyprus
Estonia,NA,5,7,4,4,5,7 points 4th,3 points 8th,Cyprus
Finland,NA,11,11,7,12,7,2 points 9th,2 points 9th,Cyprus
Georgia,NA,7,14,14,15,11,14th,16th,Cyprus
Ireland,NA,10,10,11,6,12,1 point 10th,14th,Cyprus
Israel,NA,9,9,16,8,13,11th,11th,Cyprus
Malta,NA,13,6,13,10,16,12th,1 point 10th,Cyprus
Montenegro,NA,8,15,9,16,10,13th,17th,Cyprus
North Macedonia,NA,16,17,17,17,9,17th,15th,Cyprus
Poland,NA,3,4,2,9,2,8 points 3rd,8 points 3rd,Cyprus
Romania,NA,17,13,12,13,14,16th,10 points 2nd,Cyprus
San Marino,NA,14,8,15,11,15,15th,12th,Cyprus
Serbia,NA,2,12,5,14,4,5 points 6th,12 points 1st,Cyprus
Sweden,NA,1,3,1,2,1,12 points 1st,7 points 4th,Cyprus
Australia,NA,3,3,6,2,5,8 points 3rd,5 points 6th,Czechia
Azerbaijan,NA,8,8,4,10,7,4 points 7th,15th,Czechia
Belgium,NA,5,6,8,7,4,6 points 5th,13th,Czechia
Cyprus,NA,16,15,11,15,10,13th,12th,Czechia
Estonia,NA,4,4,3,6,3,7 points 4th,8 points 3rd,Czechia
Finland,NA,10,10,16,3,12,2 points 9th,10 points 2nd,Czechia
Georgia,NA,6,7,5,9,6,5 points 6th,11th,Czechia
Ireland,NA,9,13,7,14,13,11th,1 point 10th,Czechia
Israel,NA,12,9,15,12,9,12th,3 points 8th,Czechia
Malta,NA,11,11,10,5,11,1 point 10th,14th,Czechia
Montenegro,NA,13,12,12,16,17,15th,17th,Czechia
North Macedonia,NA,2,2,2,4,2,10 points 2nd,2 points 9th,Czechia
Poland,NA,7,5,9,8,8,3 points 8th,7 points 4th,Czechia
Romania,NA,15,14,13,17,16,16th,4 points 7th,Czechia
San Marino,NA,17,17,17,13,15,17th,16th,Czechia
Serbia,NA,14,16,14,11,14,14th,12 points 1st,Czechia
Sweden,NA,1,1,1,1,1,12 points 1st,6 points 5th,Czechia
Australia,NA,2,2,2,2,3,10 points 2nd,5 points 6th,Estonia
Azerbaijan,NA,3,3,12,4,13,6 points 5th,16th,Estonia
Belgium,NA,5,11,6,10,7,5 points 6th,7 points 4th,Estonia
Cyprus,NA,11,15,15,8,8,13th,12th,Estonia
Czechia,NA,8,5,4,3,9,7 points 4th,8 points 3rd,Estonia
Finland,NA,4,4,5,7,2,8 points 3rd,12 points 1st,Estonia
Georgia,NA,15,17,3,6,15,3 points 8th,1 point 10th,Estonia
Ireland,NA,13,12,11,5,5,4 points 7th,14th,Estonia
Israel,NA,6,13,7,12,16,12th,15th,Estonia
Malta,NA,10,14,14,9,4,1 point 10th,3 points 8th,Estonia
Montenegro,NA,16,16,8,15,12,16th,17th,Estonia
North Macedonia,NA,14,9,10,16,10,14th,13th,Estonia
Poland,NA,12,10,13,14,11,15th,6 points 5th,Estonia
Romania,NA,9,8,9,13,6,2 points 9th,2 points 9th,Estonia
San Marino,NA,7,6,16,11,14,11th,11th,Estonia
Serbia,NA,17,7,17,17,17,17th,4 points 7th,Estonia
Sweden,NA,1,1,1,1,1,12 points 1st,10 points 2nd,Estonia
Australia,NA,6,5,3,2,2,10 points 2nd,6 points 5th,Finland
Azerbaijan,NA,4,8,8,4,9,7 points 4th,14th,Finland
Belgium,NA,17,7,14,10,3,11th,1 point 10th,Finland
Cyprus,NA,7,4,5,13,15,3 points 8th,12th,Finland
Czechia,NA,8,1,7,12,12,6 points 5th,7 points 4th,Finland
Estonia,NA,15,13,2,5,10,4 points 7th,12 points 1st,Finland
Georgia,NA,5,14,12,15,17,15th,2 points 9th,Finland
Ireland,NA,9,12,16,11,4,12th,13th,Finland
Israel,NA,12,9,9,14,6,13th,11th,Finland
Malta,NA,10,15,4,16,16,14th,16th,Finland
Montenegro,NA,13,16,17,7,14,16th,17th,Finland
North Macedonia,NA,14,6,11,3,13,2 points 9th,15th,Finland
Poland,NA,11,11,6,6,8,1 point 10th,5 points 6th,Finland
Romania,NA,16,17,10,17,11,17th,3 points 8th,Finland
San Marino,NA,2,10,13,9,7,5 points 6th,4 points 7th,Finland
Serbia,NA,1,2,15,8,5,8 points 3rd,8 points 3rd,Finland
Sweden,NA,3,3,1,1,1,12 points 1st,10 points 2nd,Finland
Australia,NA,10,9,6,5,1,6 points 5th,3 points 8th,Germany
Azerbaijan,NA,8,2,2,4,11,10 points 2nd,16th,Germany
Belgium,NA,15,5,5,7,2,5 points 6th,1 point 10th,Germany
Cyprus,NA,14,7,13,13,14,15th,12th,Germany
Czechia,NA,16,8,10,8,12,13th,6 points 5th,Germany
Estonia,NA,2,6,7,9,7,4 points 7th,4 points 7th,Germany
Finland,NA,7,10,11,6,5,1 point 10th,7 points 4th,Germany
Georgia,NA,1,18,8,17,3,3 points 8th,13th,Germany
Ireland,NA,18,17,16,18,16,18th,14th,Germany
Israel,NA,11,15,9,2,4,2 points 9th,2 points 9th,Germany
Malta,NA,9,12,17,15,6,14th,17th,Germany
