to_country,juror,a,b,c,d,e,jury_rank,televoting_rank,from_country
Armenia,NA,17,11,1,3,2,10 points,12th,Albania
Australia,NA,6,20,14,4,7,3 points,24th,Albania
Austria,NA,24,25,21,15,14,,20th,Albania
Belgium,NA,9,7,15,5,6,5 points,17th,Albania
Croatia,NA,20,9,19,24,25,,8 points 3rd,Albania
Cyprus,NA,16,5,3,11,16,4 points,7 points 4th,Albania
Czechia,NA,5,21,13,13,8,,15th,Albania
Estonia,NA,3,19,5,2,3,8 points,14th,Albania
Finland,NA,25,18,24,14,12,,6 points 5th,Albania
France,NA,11,4,10,21,20,,3 points 8th,Albania
Germany,NA,21,24,18,7,11,,22nd,Albania
Israel,NA,13,8,8,6,5,6 points,5 points 6th,Albania
Italy,NA,4,17,6,12,9,2 points,12 points 1st,Albania
Lithuania,NA,19,10,9,8,10,,23rd,Albania
Moldova,NA,22,12,17,19,15,,16th,Albania
Norway,NA,12,23,22,25,13,,4 points 7th,Albania
Poland,NA,23,15,11,17,18,,1 point 10th,Albania
Portugal,NA,8,14,20,16,22,,25th,Albania
Serbia,NA,15,16,23,18,19,,21st,Albania
Slovenia,NA,14,2,25,23,21,,2 points 9th,Albania
Spain,NA,10,6,4,22,23,1 point,19th,Albania
Sweden,NA,1,1,12,1,1,12 points,10 points 2nd,Albania
Switzerland,NA,2,3,2,10,17,7 points,18th,Albania
Ukraine,NA,18,22,16,20,4,,11th,Albania
United Kingdom,NA,7,13,7,9,24,,13th,Albania
Albania,NA,25,25,25,25,25,,15th,Armenia
Australia,NA,16,18,7,16,18,,24th,Armenia
Austria,NA,4,8,18,9,20,2 points,20th,Armenia
Belgium,NA,19,16,12,23,17,,18th,Armenia
Croatia,NA,24,24,20,24,15,,23rd,Armenia
Cyprus,NA,6,7,9,7,6,5 points,8 points 3rd,Armenia
Czechia,NA,20,21,4,13,22,,19th,Armenia
Estonia,NA,14,11,15,20,5,,14th,Armenia
Finland,NA,1,5,2,1,9,8 points,6 points 5th,Armenia
France,NA,9,10,6,3,3,7 points,10 points 2nd,Armenia
Germany,NA,23,20,19,15,13,,17th,Armenia
Israel,NA,3,1,1,2,1,12 points,12 points 1st,Armenia
Italy,NA,13,19,5,10,19,,3 points 8th,Armenia
Lithuania,NA,21,22,10,21,8,,22nd,Armenia
Moldova,NA,22,15,16,22,16,,13th,Armenia
Norway,NA,7,6,14,4,10,4 points,4 points 7th,Armenia
Poland,NA,12,9,17,12,7,1 point,5 points 6th,Armenia
Portugal,NA,11,12,23,11,24,,21st,Armenia
Serbia,NA,8,13,24,18,23,,25th,Armenia
Slovenia,NA,10,14,21,17,11,,11th,Armenia
Spain,NA,5,3,11,6,12,6 points,16th,Armenia
Sweden,NA,2,2,3,5,2,10 points,7 points 4th,Armenia
